"Time [s]","Torque1.Torque []"
0.920000000000001,-63.9098946785193
0.922000000000001,-63.7636808485635
0.924000000000001,-62.7530760474651
0.926000000000001,-61.4227676183023
0.928000000000001,-59.1821576513538
0.930000000000001,-54.7599257071517
0.932000000000001,-43.950412829378
0.934000000000001,-18.7203069923942
0.936000000000001,9.23880683832234
0.938000000000001,38.4696307417183
0.940000000000001,53.4987304378324
0.942000000000001,58.6786914717922
0.944000000000001,61.5393117424474
0.946000000000001,63.324353850259
0.948000000000001,64.2095059189682
0.950000000000001,64.7932971961395
0.952000000000001,65.2173215751343
0.954000000000001,65.25203680476
0.956000000000001,65.5958567212355
0.958000000000001,65.9973236804727
0.960000000000001,65.6988884324712
0.962000000000001,66.2001764892231
0.964000000000001,66.0292782437109
0.966000000000001,65.9220683154574
0.968000000000001,66.0151102571739
0.970000000000001,66.3449543984067
0.972000000000001,66.2636522854135
0.974000000000001,65.9931542330293
0.976000000000001,66.1317056732712
0.978000000000001,66.2825071530985
0.980000000000001,66.4259579824844
0.982000000000001,66.5216216621361
0.984000000000001,66.5586128863423
0.986000000000001,66.5342555688856
0.988000000000001,66.4501660499453
0.990000000000001,66.3152786242298
0.992000000000001,66.1527976268934
0.994000000000001,66.024628843866
0.996000000000001,66.1504690590949
0.998000000000001,66.3877980860599
1,66.10504544831
