"Time [s]","Torque1.Torque []"
0.564,-66.1570922200255
0.566,-65.1741866133908
0.568,-59.3153447263131
0.57,-50.2050839061234
0.572,-40.9929569403115
0.574,-32.8571979006905
0.576,-26.2998915753414
0.578,-21.6445378666044
0.58,-18.1990055210316
0.582,-15.6641679668781
0.584,-13.1304360561707
0.586,-10.9658815780292
0.588,-9.13454989200845
0.59,-7.55052919527868
0.592,-6.12855355581119
0.594,-4.85477429640621
0.596,-3.70213554528864
0.598,-2.55384830230752
0.6,-1.44392431210581
0.602,-0.352988490747086
0.604,0.718815108950933
0.606,1.82111664652514
0.608,2.92043225772375
0.61,4.05378719090371
0.612,5.25865482545302
0.614,6.56340267584571
0.616,8.02653221681532
0.618,9.67917487555651
0.62,11.6441735029784
0.622,13.8883148152851
0.624,16.3520858369952
0.626,19.2011923853825
0.628,22.9296193975368
0.63,27.9358317164909
0.632,34.9084657406052
0.634,43.739840764944
0.636,53.6532660355668
0.638,62.8072552529874
0.64,66.7615395059019
0.642,67.012682487112
0.644,67.5612175094087
0.646,67.0884600842953
0.648,67.6133962738891
0.65,67.3395888257605
0.652,67.4267650372409
0.654,67.0537313298452
0.656,67.1986265703594
0.658,66.6016101873365
0.66,66.728189421889
0.662,66.8152480992914
0.664,66.0146886020959
0.666,65.9201161291305
0.668,66.2032255369315
0.67,65.943398641223
0.672,65.1085268812714
0.674,64.8435461619582
0.676,64.0814381280189
0.678,62.3508577666916
0.68,58.2346379254886
0.682,47.5804149382234
0.684,11.4122237848721
0.686,-28.1098716400163
0.688000000000001,-53.1009444512207
0.690000000000001,-59.6127643091184
0.692000000000001,-62.5388103674864
0.694000000000001,-63.9177897282399
0.696000000000001,-64.5420049463812
0.698000000000001,-64.6642472240752
0.700000000000001,-64.9048048181113
0.702000000000001,-65.1707145555181
0.704000000000001,-65.6609324921309
0.706000000000001,-65.3720128911134
0.708000000000001,-65.6545518928758
0.710000000000001,-66.1452051308318
0.712000000000001,-66.0470534643627
0.714000000000001,-66.3717473272865
0.716000000000001,-66.3844084567964
0.718000000000001,-66.5262738017781
0.720000000000001,-66.7729086800465
0.722000000000001,-66.5925625350383
0.724000000000001,-66.7504220889409
0.726000000000001,-66.4126371420679
0.728000000000001,-65.7852393398339
0.730000000000001,-63.8773740355761
0.732000000000001,-55.8262080914361
0.734000000000001,-45.9361255416235
0.736000000000001,-36.4100956516331
0.738000000000001,-28.3750762746912
0.740000000000001,-22.6365710915378
0.742000000000001,-18.5273549296359
0.744000000000001,-15.5873611477495
0.746000000000001,-12.6954840517564
0.748000000000001,-10.2891690023203
0.750000000000001,-8.27176180747291
0.752000000000001,-6.50812499609371
0.754000000000001,-4.95401929345685
0.756000000000001,-3.55696265127249
0.758000000000001,-2.18482771913701
0.760000000000001,-0.84418142850767
0.762000000000001,0.459754648126986
0.764000000000001,1.78573499648638
0.766000000000001,3.13824961055158
0.768000000000001,4.53088913064638
0.770000000000001,6.02853178494962
0.772000000000001,7.69977431808286
0.774000000000001,9.62798398142832
0.776000000000001,11.9261025759892
0.778000000000001,14.6404894203508
0.780000000000001,17.5223424798599
0.782000000000001,21.1843500950805
0.784000000000001,26.1936890537523
0.786000000000001,33.3286814694887
0.788000000000001,42.617100403352
0.790000000000001,53.2372381333151
0.792000000000001,62.9308340732554
0.794000000000001,66.7738897564866
0.796000000000001,67.0769277909804
0.798000000000001,67.6018357213943
0.800000000000001,67.1666842645656
0.802000000000001,67.714655317968
0.804000000000001,67.0545541660114
0.806000000000001,67.4940712336626
0.808000000000001,66.9352314665604
0.810000000000001,67.0606249889297
0.812000000000001,66.8929346600529
0.814000000000001,66.4966957066017
0.816000000000001,66.7484329788061
0.818000000000001,66.3423304692901
0.820000000000001,65.9431021109293
0.822000000000001,65.9788801350369
0.824000000000001,66.006760474943
0.826000000000001,65.3888805110013
0.828000000000001,64.8206116286072
0.830000000000001,63.569703638934
0.832000000000001,61.1771939004601
0.834000000000001,55.575194075463
0.836000000000001,36.6749506437993
0.838000000000001,-3.49559107821619
0.840000000000001,-41.4890914760828
0.842000000000001,-56.2773795412892
0.844000000000001,-60.9100275539283
0.846000000000001,-62.9227122275355
0.848000000000001,-63.8965778302523
0.850000000000001,-64.4607718939151
0.852000000000001,-65.1892799296896
0.854000000000001,-65.4425107435037
0.856000000000001,-65.1815910393365
0.858000000000001,-65.1805378212833
0.860000000000001,-66.0548953284844
0.862000000000001,-65.7805269982611
0.864000000000001,-65.8059013592833
0.866000000000001,-66.35319893256
0.868000000000001,-66.1915319615415
0.870000000000001,-66.6567959465507
0.872000000000001,-66.6157207873954
0.874000000000001,-66.7100434153121
0.876000000000001,-66.4955036172585
0.878000000000001,-66.6434871498839
0.880000000000001,-66.1420320279367
0.882000000000001,-64.7794330768139
0.884000000000001,-57.1245083013107
0.886000000000001,-46.4719827751145
0.888000000000001,-36.0727218195439
0.890000000000001,-27.4028100042041
0.892000000000001,-21.4215404592969
0.894000000000001,-17.2720427367876
0.896000000000001,-14.0055573996843
0.898000000000001,-10.97679131041
0.900000000000001,-8.53661982962599
0.902000000000001,-6.46221433136012
0.904000000000001,-4.65774136391253
0.906000000000001,-3.01179190174802
0.908000000000001,-1.41014367232629
0.910000000000001,0.153440796312757
0.912000000000001,1.72409402269641
0.914000000000001,3.30626942055204
0.916000000000001,4.97761255186814
0.918000000000001,6.81326588168549
0.920000000000001,8.93748984207402
0.922000000000001,11.5072413497802
0.924000000000001,14.5667857649918
0.926000000000001,17.9237887013728
0.928000000000001,22.3108330905248
0.930000000000001,28.5462997572796
0.932000000000001,37.4395131265038
0.934000000000001,48.62602525313
0.936000000000001,59.9058422058739
0.938000000000001,66.4375561081436
0.940000000000001,67.0516896192678
0.942000000000001,67.5424398893585
0.944000000000001,67.0850249803279
0.946000000000001,67.6537197434649
0.948000000000001,67.1964470432524
0.950000000000001,67.4796042407143
0.952000000000001,66.9428659999196
0.954000000000001,67.094768356717
0.956000000000001,66.8749935813439
0.958000000000001,66.4924390202925
0.960000000000001,66.7161657857174
0.962000000000001,66.3454684940969
0.964000000000001,65.9493129629369
0.966000000000001,65.9552224673697
0.968000000000001,65.9645337233873
0.970000000000001,65.409616594005
0.972000000000001,64.7984736476485
0.974000000000001,63.4681121470308
0.976000000000001,60.95741361867
0.978000000000001,54.9166030677274
0.980000000000001,33.4408471422132
0.982000000000001,-7.21045404730417
0.984000000000001,-44.3221037480077
0.986000000000001,-56.9931715296948
0.988000000000001,-61.3117873117129
0.990000000000001,-63.1370629000363
0.992000000000001,-63.9649772704141
0.994000000000001,-64.4007108056104
0.996000000000001,-65.0463211587348
0.998000000000001,-65.4914327718442
1,-65.2829111806727
