"Distance [mm]","Mag_B []"
324.027165,836.580173988228
324.35546,831.44054551602
324.683755,825.343008273746
325.01205,814.591134116884
325.340345,803.238048878024
325.66864,801.323076762932
325.996935,822.493817424337
326.32523,830.135242115279
326.653525,821.990586599255
326.98182,797.194229393852
327.310115,756.343404331224
327.63841,659.304684050711
327.966705,546.916904580875
328.295,436.180090130618
