"Distance [mm]","B_normal []"
173.99635,0.00132517694133221
174.324645,0.00135488403943397
174.65294,0.00137751777926538
174.981235,0.00143450082738256
175.30953,0.00130454248098062
175.637825,0.00121746611534449
175.96612,0.00114349414045335
176.294415,0.00106965857495334
176.62271,0.000995996770805659
176.951005,0.000922546022353823
177.2793,0.000849343563602882
177.607595,0.000776426565506775
177.93589,0.000703832133264029
178.264185,0.000631597303621989
178.59248,0.000559759042189819
178.920775,0.000474995515302794
179.24907,0.000384273201989987
179.577365,0.000293210722209191
179.90566,0.000201792113265757
180.233955,0.000110001407702921
180.56225,1.78226362435964e-05
180.890545,-7.47601692648399e-05
181.21884,-0.000167762972903079
181.547135,-0.000261201731730088
181.87543,-0.000355092392831232
182.203725,-0.000458755189993673
182.53202,-0.00055657529801221
182.860315,-0.000625684210909326
183.18861,-0.000695385166616858
183.516905,-0.00076562496160943
183.8452,-0.000836350264761315
184.173495,-0.00090750762209402
184.50179,-0.000979043461539498
184.830085,-0.00105090409771845
185.15838,-0.00112303573673347
185.486675,-0.00119538448097646
185.81497,-0.00128496626243173
186.143265,-0.00143049918748294
186.47156,-0.00136670129006791
186.799855,-0.00136881909114495
187.12815,-0.00137143442888278
187.456445,-0.00134850244936662
187.78474,-0.00130022925394269
188.113035,-0.00122682664260221
188.44133,-0.00112851206220008
188.769625,-0.00100550855402872
189.09792,-0.000858044700753157
189.426215,-0.000686354572713854
189.75451,-0.000251705313936915
190.082805,0.000279995479866707
190.4111,0.000766485874465012
190.739395,0.00121364259502834
191.06769,0.0017054109366462
191.395985,0.00223936511434579
191.72428,0.0046443309447666
192.052575,0.00730892400895695
192.38087,0.0101344827379207
192.709165,0.0128130845116261
193.03746,0.0150568904245567
193.365755,0.0184471729312
193.69405,0.024102946842842
194.022345,0.0315192343397326
194.35064,0.0430033989503859
194.678935,0.058621040723306
195.00723,0.0752314803974741
195.335525,0.0778006525798014
195.66382,0.102428269930151
195.992115,0.148985837994955
196.32041,0.24371582276855
196.648705,0.358587717663481
196.977,0.484078739952725
197.305295,0.64080329847687
197.63359,0.692152739596159
197.961885,0.782492517812511
198.29018,0.858375181925359
198.618475,0.907937579305117
198.94677,0.913137162640543
199.275065,0.920395929778986
199.60336,0.932189069760846
199.931655,0.944243257302762
200.25995,0.954950470270425
200.588245,0.963875567654504
200.91654,0.965821321864704
201.244835,0.966372144910757
201.57313,0.971945473115515
201.901425,0.977589375511579
202.22972,0.982538701592183
202.558015,0.983341593224539
202.88631,0.983540182805416
203.214605,0.981832571345389
203.5429,0.980189311849715
203.871195,0.980808286270575
204.19949,0.982890856634877
204.527785,0.984770089954769
204.85608,0.98661216140781
205.184375,0.988117150526118
205.51267,0.988392428439831
205.840965,0.988492843925863
206.16926,0.988632340017446
206.497555,0.988808772074796
206.82585,0.989020127217953
207.154145,0.988040228128032
207.48244,0.985689898727118
207.810735,0.983629100688814
208.13903,0.983422611535889
208.467325,0.984285175198255
208.79562,0.984957241721362
209.123915,0.985436449095183
209.45221,0.98572046772844
209.780505,0.985807000535979
210.1088,0.985845025322559
210.437095,0.98588829935647
210.76539,0.98592112204245
211.093685,0.985943320982476
211.42198,0.985954722229525
211.750275,0.985877088293694
212.07857,0.985720166114772
212.406865,0.98558108739361
212.73516,0.985459697757168
213.063455,0.985355839288694
213.39175,0.985269350521504
213.720045,0.985205436464492
214.04834,0.985160517543594
214.376635,0.985132319912442
214.70493,0.985120739190184
215.033225,0.985125670256652
215.36152,0.9850776040187
215.689815,0.984922923195979
216.01811,0.984787096163506
216.346405,0.98467004848769
216.6747,0.984571704780287
217.002995,0.984491988714741
217.33129,0.984433945882703
217.659585,0.984397084038812
217.98788,0.984379489322384
218.316175,0.984381104159043
218.64447,0.984401870272034
218.972765,0.984389010774352
219.30106,0.984236271824125
219.629355,0.984102303475414
219.95765,0.983987031535857
220.285945,0.983890381060763
220.61424,0.983812276369462
220.942535,0.983753831892695
221.27083,0.983715434894256
221.599125,0.983695960072059
221.92742,0.983695326309432
222.255715,0.983713451525846
222.58401,0.983723587546661
222.912305,0.983588609256463
223.2406,0.983470092979629
223.568895,0.983367967537776
223.89719,0.983282161068499
224.225485,0.983212601040848
224.55378,0.983160983611589
224.882075,0.983127886792858
225.21037,0.983110306904156
225.538665,0.983108159980059
225.86696,0.983121361526708
226.195255,0.983143579603666
226.52355,0.982997818376198
226.851845,0.982871130507972
227.18014,0.982763445710047
227.508435,0.982674692746375
227.83673,0.982604799449279
228.165025,0.982555418041778
228.49332,0.98252962623892
228.821615,0.982523213609162
229.14991,0.98253611799406
229.478205,0.98256827640111
229.8065,0.982619625018207
230.134795,0.982492780908707
230.46309,0.982368514172006
230.791385,0.982262893604074
231.11968,0.982175844288023
231.447975,0.982107290493779
231.77627,0.982057655633684
232.104565,0.982029207801916
232.43286,0.982019794944984
232.761155,0.982029342270056
233.08945,0.982057774025496
233.417745,0.982105013516386
233.74604,0.982015160828751
234.074335,0.981906884907744
234.40263,0.981815052395983
234.730925,0.981739593033052
235.05922,0.98168043586581
235.387515,0.981637840254081
235.71581,0.981615985954683
236.044105,0.981609746747376
236.3724,0.98161903990637
236.700695,0.98164378212771
237.02899,0.98168388954542
237.357285,0.981604098887176
237.68558,0.981486973167968
238.013875,0.981388840088679
238.34217,0.981309631746585
238.670465,0.981249279269472
238.99876,0.981207712830337
239.327055,0.981190990337709
239.65535,0.981193999772183
239.983645,0.981216417781354
240.31194,0.98125818713227
240.640235,0.981319249748849
240.96853,0.981270744800695
241.296825,0.981155092704657
241.62512,0.981058246931474
241.953415,0.980980133671458
242.28171,0.980920678235018
242.610005,0.980879805067866
242.9383,0.980860641180867
243.266595,0.980861082697563
243.59489,0.980880526942822
243.923185,0.980918899684102
244.25148,0.980976125768075
244.579775,0.980955955419292
244.90807,0.980853793162071
245.236365,0.98076888602168
245.56466,0.980701169047896
245.892955,0.980650576612163
246.22125,0.980617042422115
246.549545,0.980603786908012
246.87784,0.980608480570301
247.206135,0.980629858879037
247.53443,0.980667840914628
247.862725,0.98072234499718
248.19102,0.980720047595428
248.519315,0.980617328708426
248.84761,0.980532809363301
249.175905,0.980466425285648
249.5042,0.980418111342329
249.832495,0.980387801555466
250.16079,0.980379214204045
250.489085,0.98039095986487
250.81738,0.980420801516917
251.145675,0.980468671630058
251.47397,0.980534501848791
251.802265,0.980561659869152
252.13056,0.980457455997837
252.458855,0.980371529995038
252.78715,0.980303814514435
253.115445,0.980254241348676
253.44374,0.980222741443525
253.772035,0.980212233893033
254.10033,0.980222656731709
254.428625,0.980251271670797
254.75692,0.98029800455402
255.085215,0.980362780287927
255.41351,0.9804128588351
255.741805,0.980316762484668
256.0701,0.980238230245898
256.398395,0.980177198675854
256.72669,0.980133603442667
257.054985,0.980107379338712
257.38328,0.980101578450461
257.711575,0.980117461070099
258.03987,0.980150525073131
258.368165,0.980200701014445
258.69646,0.980267918653759
259.024755,0.980340386414641
